scenario,num_aircraft,conflict_type,agent_type,model_name,temperature,runtime,num_total_commands,num_send_commands,score,log,final_details,experience_library
2_head-on_single_agent_llama3:70b-8419_True,2,head-on,single_agent,llama3:70b-8419,0.3,28.98880242604994,54,189,0,log_details,final_details,True
4_converging_single_agent_gpt-40_True,4,converging,single_agent,gpt-40,0.3,10.756008415376922,341,117,-1,log_details,final_details,True
3_head-on_multi_agent_gpt-40_True,3,head-on,multi_agent,gpt-40,0.3,70.32483062000577,306,229,1,log_details,final_details,True
4_head-on_single_agent_gpt-40_True,4,head-on,single_agent,gpt-40,0.3,78.33572680541786,46,174,1,log_details,final_details,True
4_t-formation_single_agent_gpt-40_False,4,t-formation,single_agent,gpt-40,0.3,89.3384878400966,473,169,1,log_details,final_details,False
2_head-on_multi_agent_llama3:70b-8419_False,2,head-on,multi_agent,llama3:70b-8419,0.3,44.75440315690359,50,37,1,log_details,final_details,False
3_head-on_multi_agent_llama3:70b-8419_True,3,head-on,multi_agent,llama3:70b-8419,0.3,67.25538513292548,173,37,0,log_details,final_details,True
3_head-on_multi_agent_llama3:70b-8419_False,3,head-on,multi_agent,llama3:70b-8419,0.3,50.2661091867147,155,119,0,log_details,final_details,False
3_t-formation_single_agent_gpt-40_False,3,t-formation,single_agent,gpt-40,0.3,31.262588524552285,210,103,1,log_details,final_details,False
4_converging_single_agent_llama3:70b-8419_True,4,converging,single_agent,llama3:70b-8419,0.3,39.3618405081255,364,146,-1,log_details,final_details,True
3_converging_multi_agent_gpt-40_True,3,converging,multi_agent,gpt-40,0.3,69.27025865226207,275,103,1,log_details,final_details,True
3_t-formation_single_agent_llama3:70b-8419_True,3,t-formation,single_agent,llama3:70b-8419,0.3,61.81446687285333,73,227,0,log_details,final_details,True
2_converging_single_agent_gpt-40_False,2,converging,single_agent,gpt-40,0.3,49.9195139621158,79,43,0,log_details,final_details,False
2_parallel_single_agent_gpt-40_False,2,parallel,single_agent,gpt-40,0.3,55.30598986375441,253,247,1,log_details,final_details,False
3_parallel_multi_agent_gpt-40_True,3,parallel,multi_agent,gpt-40,0.3,84.6562717119439,345,269,0,log_details,final_details,True
4_parallel_single_agent_gpt-40_False,4,parallel,single_agent,gpt-40,0.3,42.88353466314482,250,31,-1,log_details,final_details,False
3_converging_multi_agent_llama3:70b-8419_True,3,converging,multi_agent,llama3:70b-8419,0.3,35.10481537592305,262,182,1,log_details,final_details,True
4_head-on_multi_agent_gpt-40_False,4,head-on,multi_agent,gpt-40,0.3,12.247136522776875,393,255,0,log_details,final_details,False
2_converging_single_agent_gpt-40_True,2,converging,single_agent,gpt-40,0.3,90.94391090792232,99,177,0,log_details,final_details,True
2_t-formation_multi_agent_gpt-40_True,2,t-formation,multi_agent,gpt-40,0.3,80.94731640171435,85,138,1,log_details,final_details,True
4_parallel_multi_agent_gpt-40_False,4,parallel,multi_agent,gpt-40,0.3,81.89465001527563,361,70,-1,log_details,final_details,False
2_parallel_multi_agent_llama3:70b-8419_True,2,parallel,multi_agent,llama3:70b-8419,0.3,50.954446356205096,279,291,-1,log_details,final_details,True
4_converging_multi_agent_gpt-40_True,4,converging,multi_agent,gpt-40,0.3,86.75058072087067,234,62,0,log_details,final_details,True
3_head-on_multi_agent_gpt-40_False,3,head-on,multi_agent,gpt-40,0.3,18.663934814741314,291,83,-1,log_details,final_details,False
3_head-on_single_agent_gpt-40_True,3,head-on,single_agent,gpt-40,0.3,18.24004711711954,232,25,0,log_details,final_details,True
2_parallel_multi_agent_llama3:70b-8419_False,2,parallel,multi_agent,llama3:70b-8419,0.3,43.344065452261766,345,28,0,log_details,final_details,False
2_converging_single_agent_llama3:70b-8419_False,2,converging,single_agent,llama3:70b-8419,0.3,27.829969448257966,285,165,0,log_details,final_details,False
3_parallel_multi_agent_llama3:70b-8419_True,3,parallel,multi_agent,llama3:70b-8419,0.3,89.47945717300576,278,101,-1,log_details,final_details,True
2_t-formation_single_agent_llama3:70b-8419_True,2,t-formation,single_agent,llama3:70b-8419,0.3,13.551056239525659,35,92,0,log_details,final_details,True
4_head-on_multi_agent_llama3:70b-8419_False,4,head-on,multi_agent,llama3:70b-8419,0.3,67.47269494335495,302,297,0,log_details,final_details,False
3_parallel_multi_agent_gpt-40_False,3,parallel,multi_agent,gpt-40,0.3,44.17232012174835,464,247,0,log_details,final_details,False
4_converging_multi_agent_llama3:70b-8419_True,4,converging,multi_agent,llama3:70b-8419,0.3,74.66689928513966,46,69,1,log_details,final_details,True
3_converging_multi_agent_llama3:70b-8419_False,3,converging,multi_agent,llama3:70b-8419,0.3,28.384014541649467,477,283,0,log_details,final_details,False
2_head-on_single_agent_gpt-40_True,2,head-on,single_agent,gpt-40,0.3,46.98762893842078,156,231,0,log_details,final_details,True
4_parallel_single_agent_llama3:70b-8419_False,4,parallel,single_agent,llama3:70b-8419,0.3,82.04287505887326,64,217,0,log_details,final_details,False
4_t-formation_multi_agent_llama3:70b-8419_True,4,t-formation,multi_agent,llama3:70b-8419,0.3,34.7659132523043,40,100,1,log_details,final_details,True
4_converging_single_agent_gpt-40_False,4,converging,single_agent,gpt-40,0.3,52.03980442269258,83,47,0,log_details,final_details,False
2_converging_single_agent_llama3:70b-8419_True,2,converging,single_agent,llama3:70b-8419,0.3,41.83414194197279,148,179,0,log_details,final_details,True
4_t-formation_multi_agent_gpt-40_True,4,t-formation,multi_agent,gpt-40,0.3,28.285100293381856,183,196,-1,log_details,final_details,True
4_parallel_multi_agent_gpt-40_True,4,parallel,multi_agent,gpt-40,0.3,53.814324825997595,201,53,0,log_details,final_details,True
2_t-formation_multi_agent_llama3:70b-8419_True,2,t-formation,multi_agent,llama3:70b-8419,0.3,32.18365260439735,241,194,0,log_details,final_details,True
4_converging_single_agent_llama3:70b-8419_False,4,converging,single_agent,llama3:70b-8419,0.3,27.680766232420492,283,209,1,log_details,final_details,False
4_head-on_multi_agent_gpt-40_True,4,head-on,multi_agent,gpt-40,0.3,45.10027854229669,483,105,-1,log_details,final_details,True
2_converging_multi_agent_gpt-40_True,2,converging,multi_agent,gpt-40,0.3,60.64153346233848,148,108,0,log_details,final_details,True
3_converging_single_agent_gpt-40_False,3,converging,single_agent,gpt-40,0.3,15.11937831332461,65,30,1,log_details,final_details,False
2_head-on_multi_agent_llama3:70b-8419_True,2,head-on,multi_agent,llama3:70b-8419,0.3,96.05316780326184,357,86,-1,log_details,final_details,True
3_t-formation_multi_agent_gpt-40_True,3,t-formation,multi_agent,gpt-40,0.3,14.994929114675209,70,88,0,log_details,final_details,True
2_converging_multi_agent_llama3:70b-8419_True,2,converging,multi_agent,llama3:70b-8419,0.3,71.2595684140149,443,8,1,log_details,final_details,True
2_parallel_single_agent_llama3:70b-8419_False,2,parallel,single_agent,llama3:70b-8419,0.3,61.162121717455804,146,145,0,log_details,final_details,False
2_parallel_multi_agent_gpt-40_False,2,parallel,multi_agent,gpt-40,0.3,68.87262275557381,466,246,1,log_details,final_details,False
4_head-on_single_agent_llama3:70b-8419_False,4,head-on,single_agent,llama3:70b-8419,0.3,98.87354192131524,361,61,1,log_details,final_details,False
2_t-formation_single_agent_llama3:70b-8419_False,2,t-formation,single_agent,llama3:70b-8419,0.3,75.94652094090543,73,48,0,log_details,final_details,False
4_t-formation_multi_agent_llama3:70b-8419_False,4,t-formation,multi_agent,llama3:70b-8419,0.3,56.16028781825588,351,210,0,log_details,final_details,False
4_converging_multi_agent_gpt-40_False,4,converging,multi_agent,gpt-40,0.3,16.98238129805165,208,188,1,log_details,final_details,False
3_t-formation_multi_agent_llama3:70b-8419_True,3,t-formation,multi_agent,llama3:70b-8419,0.3,70.84967615190212,129,265,0,log_details,final_details,True
3_t-formation_multi_agent_llama3:70b-8419_False,3,t-formation,multi_agent,llama3:70b-8419,0.3,66.21548843754506,434,264,-1,log_details,final_details,False
3_parallel_single_agent_gpt-40_True,3,parallel,single_agent,gpt-40,0.3,86.66464319299332,123,17,1,log_details,final_details,True
4_head-on_single_agent_gpt-40_False,4,head-on,single_agent,gpt-40,0.3,49.14485204285098,229,15,0,log_details,final_details,False
3_converging_multi_agent_gpt-40_False,3,converging,multi_agent,gpt-40,0.3,35.771315548538,357,197,0,log_details,final_details,False
2_head-on_multi_agent_gpt-40_True,2,head-on,multi_agent,gpt-40,0.3,27.94844812724393,191,134,1,log_details,final_details,True
4_t-formation_single_agent_llama3:70b-8419_False,4,t-formation,single_agent,llama3:70b-8419,0.3,57.08117462216599,352,70,0,log_details,final_details,False
3_parallel_single_agent_llama3:70b-8419_True,3,parallel,single_agent,llama3:70b-8419,0.3,47.2168143130758,468,182,1,log_details,final_details,True
3_parallel_single_agent_gpt-40_False,3,parallel,single_agent,gpt-40,0.3,49.3488648200708,420,199,-1,log_details,final_details,False
2_t-formation_multi_agent_llama3:70b-8419_False,2,t-formation,multi_agent,llama3:70b-8419,0.3,41.785891055040565,342,105,-1,log_details,final_details,False
